"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right","dynamic_env","bird_num"
"s45","p530",132,170,11,32,FALSE,5
"s46","p530",170,480,11,28,FALSE,5
"s47","p530",351,375,13,34,FALSE,5
"s48","p530",284,566,11,34,FALSE,5
"s49","p530",231,448,13,31,FALSE,5
"s50","p530",228,597,12,36,FALSE,5
"s51","p530",191,606,8,29,FALSE,5
"s52","p530",254,736,17,39,FALSE,5
"s54","p530",644,557,42,9,FALSE,5
"s55","p530",588,462,30,12,FALSE,5
"s56","p530",808,554,53,16,FALSE,5
"s57","p530",467,379,29,15,FALSE,5
"s58","p530",975,420,60,23,FALSE,5
"s59","p530",739,186,35,11,FALSE,5
"s60","p530",560,113,40,12,FALSE,5
"s61","p530",660,102,34,13,FALSE,5
"s62","p530",888,134,26,10,FALSE,5
"s63","p530",1116,182,45,16,FALSE,5
"s64","p530",740,127,30,9,FALSE,5
"s65","p530",742,81,37,11,FALSE,5
"s66","p530",1194,149,52,18,FALSE,5
"s67","p530",761,116,53,17,FALSE,5
"s68","p530",438,115,45,19,FALSE,5
"s69","p530",621,157,42,15,FALSE,5
"s70","p530",630,137,48,16,FALSE,5
"s71","p530",895,164,44,13,FALSE,5
"s72","p530",852,232,50,14,FALSE,5
"s73","p530",430,119,31,11,FALSE,5
"s74","p530",550,118,25,14,FALSE,5
"s76","p530",631,486,14,40,FALSE,5
"s77","p530",286,258,10,22,FALSE,5
"s78","p530",303,232,12,23,FALSE,5
"s79","p530",281,357,14,36,FALSE,5
"s80","p530",377,301,19,38,FALSE,5
"s81","p530",319,460,10,38,FALSE,5
"s82","p530",268,656,15,34,FALSE,5
"s83","p530",163,252,15,19,FALSE,5
"s84","p530",255,344,13,21,FALSE,5
"s85","p530",243,263,13,31,FALSE,5
"s86","p530",488,579,19,37,FALSE,5
"s87","p530",292,269,9,30,FALSE,5
"s88","p530",228,415,10,42,FALSE,5
"s89","p530",143,247,11,29,FALSE,5
"s90","p530",151,331,9,32,FALSE,5
"s91","p530",121,216,11,24,FALSE,5
"s92","p530",209,330,17,37,FALSE,5
"s93","p530",159,485,12,37,FALSE,5
"s94","p530",127,476,13,32,FALSE,5
"s95","p530",258,576,16,44,FALSE,5
"s96","p530",213,531,10,32,FALSE,5
"s97","p530",70,519,8,28,FALSE,5
"s98","p530",49,408,9,33,FALSE,5
"s99","p530",81,580,10,40,FALSE,5
"s100","p530",61,806,11,39,FALSE,5
"s102","p530",123,619,17,19,FALSE,5
"s103","p530",190,574,23,12,FALSE,5
"s104","p530",225,523,18,17,FALSE,5
"s105","p530",91,590,11,20,FALSE,5
"s106","p530",171,550,26,24,FALSE,5
"s107","p530",195,738,20,20,FALSE,5
"s108","p530",212,603,17,26,FALSE,5
"s109","p530",181,730,23,22,FALSE,5
"s110","p530",223,793,21,32,FALSE,5
"s111","p530",234,535,21,22,FALSE,5
"s112","p530",294,467,28,21,FALSE,5
"s113","p530",298,535,20,24,FALSE,5
"s114","p530",350,386,25,25,FALSE,5
"s115","p530",261,300,18,14,FALSE,5
"s117","p530",552,271,53,5,FALSE,5
"s122","p530",738,343,56,7,FALSE,5
"s123","p530",1073,318,61,12,FALSE,5
"s124","p530",993,178,37,3,FALSE,5
"s126","p530",723,828,23,75,FALSE,5
"s128","p530",1070,257,51,3,FALSE,5
"s129","p530",1266,75,44,3,FALSE,5
"s131","p530",652,662,23,49,FALSE,5
"s133","p530",954,516,45,20,FALSE,5
"s135","p530",475,744,11,58,FALSE,5
"s139","p530",1142,680,50,15,FALSE,5
"s143","p530",344,1200,12,87,FALSE,5
"s145","p530",1552,203,87,7,FALSE,5
"s150","p530",718,80,48,3,FALSE,5
"s152","p530",201,906,9,51,FALSE,5
"s153","p530",326,1252,15,52,FALSE,5
"s154","p530",431,1257,14,73,FALSE,5
"s158","p530",1037,269,71,11,FALSE,5
"s161","p530",402,101,39,5,FALSE,5
"s162","p530",1023,179,70,13,FALSE,5
"s165","p530",591,361,24,20,FALSE,5
"s167","p530",759,734,34,52,FALSE,5
"s171","p530",987,404,52,23,FALSE,5
"s172","p530",826,475,48,32,FALSE,5
"s173","p530",1201,324,55,20,FALSE,5
"s178","p530",479,1070,16,64,FALSE,5
"s179","p530",365,677,20,48,FALSE,5
"s01","p736",216,153,19,8,FALSE,6
"s02","p736",605,44,31,3,FALSE,6
"s03","p736",672,70,27,5,FALSE,6
"s04","p736",1438,122,69,17,FALSE,6
"s05","p736",1632,323,59,19,FALSE,6
"s06","p736",1018,155,41,8,FALSE,6
"s07","p736",1413,407,47,19,FALSE,6
"s08","p736",1183,198,34,8,FALSE,6
"s09","p736",1185,205,45,18,FALSE,6
"s10","p736",930,165,28,9,FALSE,6
"s11","p736",1508,395,55,15,FALSE,6
"s12","p736",1097,332,43,21,FALSE,6
"s13","p736",1332,367,49,13,FALSE,6
"s14","p736",1285,454,46,17,FALSE,6
"s15","p736",1498,562,52,17,FALSE,6
"s17","p736",627,515,9,29,FALSE,6
"s18","p736",561,765,16,52,FALSE,6
"s19","p736",474,790,12,37,FALSE,6
"s20","p736",336,594,8,29,FALSE,6
"s21","p736",421,560,16,36,FALSE,6
"s22","p736",345,656,7,44,FALSE,6
"s23","p736",566,718,13,28,FALSE,6
"s24","p736",399,799,13,43,FALSE,6
"s25","p736",419,775,22,39,FALSE,6
"s27","p736",498,442,29,12,FALSE,6
"s28","p736",751,340,30,13,FALSE,6
"s29","p736",1148,507,54,13,FALSE,6
"s30","p736",1258,587,53,24,FALSE,6
"s31","p736",996,517,52,13,FALSE,6
"s32","p736",1281,622,65,23,FALSE,6
"s33","p736",1048,606,61,27,FALSE,6
"s34","p736",1063,558,60,20,FALSE,6
"s35","p736",1201,488,53,17,FALSE,6
"s37","p736",499,739,22,47,FALSE,6
"s38","p736",422,703,16,34,FALSE,6
"s39","p736",375,562,9,34,FALSE,6
"s40","p736",514,685,17,47,FALSE,6
"s41","p736",498,675,21,33,FALSE,6
"s42","p736",323,617,16,34,FALSE,6
"s43","p736",189,497,5,40,FALSE,6
"s44","p736",237,704,7,32,FALSE,6
"s45","p736",311,481,10,24,FALSE,6
"s46","p736",435,642,19,48,FALSE,6
"s47","p736",307,571,11,31,FALSE,6
"s48","p736",408,691,15,34,FALSE,6
"s49","p736",273,591,15,44,FALSE,6
"s50","p736",307,529,7,31,FALSE,6
"s51","p736",360,627,7,26,FALSE,6
"s52","p736",520,696,20,39,FALSE,6
"s54","p736",704,686,61,23,FALSE,6
"s55","p736",578,500,42,12,FALSE,6
"s56","p736",827,644,48,25,FALSE,6
"s57","p736",719,306,49,15,FALSE,6
"s58","p736",589,315,45,11,FALSE,6
"s59","p736",1005,447,58,19,FALSE,6
"s60","p736",461,278,25,9,FALSE,6
"s61","p736",603,440,45,21,FALSE,6
"s62","p736",463,318,26,15,FALSE,6
"s63","p736",420,356,33,12,FALSE,6
"s64","p736",649,219,37,11,FALSE,6
"s65","p736",702,340,36,19,FALSE,6
"s66","p736",846,320,45,6,FALSE,6
"s67","p736",625,326,34,10,FALSE,6
"s68","p736",930,506,54,19,FALSE,6
"s69","p736",713,386,45,12,FALSE,6
"s70","p736",1152,444,64,19,FALSE,6
"s71","p736",967,419,52,12,FALSE,6
"s72","p736",929,411,58,15,FALSE,6
"s73","p736",953,514,54,16,FALSE,6
"s74","p736",444,252,26,12,FALSE,6
"s76","p736",441,474,19,47,FALSE,6
"s77","p736",552,578,11,31,FALSE,6
"s78","p736",362,561,9,27,FALSE,6
"s79","p736",478,452,13,23,FALSE,6
"s80","p736",458,512,17,36,FALSE,6
"s81","p736",289,424,8,31,FALSE,6
"s82","p736",473,750,8,51,FALSE,6
"s83","p736",481,555,18,31,FALSE,6
"s84","p736",547,630,17,35,FALSE,6
"s85","p736",570,736,14,47,FALSE,6
"s86","p736",476,710,10,42,FALSE,6
"s87","p736",587,874,11,39,FALSE,6
"s88","p736",487,652,13,40,FALSE,6
"s89","p736",366,570,8,23,FALSE,6
"s90","p736",466,724,16,40,FALSE,6
"s91","p736",416,457,20,29,FALSE,6
"s92","p736",396,579,13,28,FALSE,6
"s93","p736",342,527,10,33,FALSE,6
"s94","p736",380,593,7,34,FALSE,6
"s95","p736",494,664,12,39,FALSE,6
"s96","p736",559,747,13,40,FALSE,6
"s97","p736",546,718,21,47,FALSE,6
"s98","p736",290,560,17,41,FALSE,6
"s99","p736",131,488,8,33,FALSE,6
"s100","p736",376,693,11,40,FALSE,6
"s102","p736",366,586,18,23,FALSE,6
"s103","p736",507,514,20,19,FALSE,6
"s104","p736",428,434,23,17,FALSE,6
"s105","p736",439,424,14,18,FALSE,6
"s106","p736",559,462,24,19,FALSE,6
"s107","p736",590,547,20,21,FALSE,6
"s108","p736",600,567,21,23,FALSE,6
"s109","p736",612,474,24,21,FALSE,6
"s110","p736",604,491,26,20,FALSE,6
"s111","p736",586,545,17,22,FALSE,6
"s112","p736",378,435,24,13,FALSE,6
"s113","p736",474,465,18,18,FALSE,6
"s114","p736",679,540,26,24,FALSE,6
"s115","p736",551,482,20,15,FALSE,6
"s117","p736",1365,893,74,15,FALSE,6
"s119","p736",650,1169,12,76,FALSE,6
"s120","p736",482,1286,4,68,FALSE,6
"s122","p736",1126,789,67,2,FALSE,6
"s127","p736",1654,807,76,18,FALSE,6
"s128","p736",656,413,50,7,FALSE,6
"s129","p736",663,379,39,10,FALSE,6
"s134","p736",598,591,42,6,FALSE,6
"s136","p736",627,984,16,56,FALSE,6
"s137","p736",441,1353,17,58,FALSE,6
"s140","p736",683,1510,12,73,FALSE,6
"s141","p736",605,1383,8,62,FALSE,6
"s142","p736",215,1140,3,52,FALSE,6
"s146","p736",763,714,39,24,FALSE,6
"s148","p736",275,747,17,41,FALSE,6
"s153","p736",388,874,6,40,FALSE,6
"s155","p736",1211,637,69,7,FALSE,6
"s160","p736",263,324,35,24,FALSE,6
"s162","p736",357,809,22,45,FALSE,6
"s163","p736",661,913,18,47,FALSE,6
"s164","p736",650,795,20,37,FALSE,6
"s166","p736",1108,699,63,3,FALSE,6
"s167","p736",1197,541,59,4,FALSE,6
"s168","p736",814,237,63,6,FALSE,6
"s171","p736",1155,408,60,2,FALSE,6
"s175","p736",700,923,18,50,FALSE,6
"s179","p736",1545,635,81,8,FALSE,6
