"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"AbAbsurdo",1974,23,1,13,1,1,0,37,2,4,39,4
"BabifetMcgeesex",2109,8,18,4,8,1,0,13,26,4,39,4
"dVladimir",1711,12,6,11,6,3,1,26,13,3,39,4
"MRTCBNKY",1654,5,13,9,11,0,1,14,25,3,39,4
"parque178",1883,9,2,21,4,3,0,33,6,4,39,4
"Patent",1904,22,1,16,0,0,0,38,1,4,39,4
"Soska",1521,13,1,24,1,0,0,37,2,2,39,4
"Valentin45",1725,1,22,4,11,0,1,5,34,4,39,4
"alto",1318,3,10,5,19,0,1,8,30,1,38,4
"guitafishouttawaater",1725,17,4,15,2,0,0,32,6,4,38,4
"ostap32",1581,1,14,0,20,0,3,1,37,2,38,4
"velkypes",1609,1,13,1,20,0,3,2,36,3,38,4
"Arthrenaid",1418,13,6,7,8,1,2,21,16,1,37,4
"bumblebee",1399,14,2,19,0,2,0,35,2,1,37,4
"FACETIMECOMAU",1746,21,1,14,0,1,0,36,1,4,37,4
"imouseslipped",1836,10,2,25,0,0,0,35,2,4,37,4
"m90m",1658,12,4,15,4,1,1,28,9,3,37,4
"MadCow",1578,8,1,25,1,2,0,35,2,2,37,4
"strtatos",1560,19,1,14,0,3,0,36,1,2,37,4
"acsloaner",1320,3,4,21,8,0,0,24,12,1,36,4
"GunganAttack",1858,4,13,11,8,0,0,15,21,4,36,4
"MASTERINIO",1633,11,1,21,2,1,0,33,3,3,36,4
"suleymano",1680,17,1,16,2,0,0,33,3,3,36,4
"Arnoldchest",1394,10,2,21,2,0,0,31,4,1,35,4
"cerit",1631,8,3,18,4,2,0,28,7,3,35,4
"cormoran0000",1601,12,1,21,0,1,0,34,1,3,35,4
"hri83",1612,4,15,2,13,0,1,6,29,3,35,4
"Jelou",1653,15,2,16,1,1,0,32,3,3,35,4
"marselo",1732,15,1,16,1,2,0,33,2,4,35,4
"SchwarzerRitter",1736,11,2,20,1,1,0,32,3,4,35,4
"TOPO7",1454,1,10,0,20,0,4,1,34,2,35,4
"betun_adn",1274,1,11,3,16,0,3,4,30,1,34,4
"Dany27",1748,2,21,0,10,0,1,2,32,4,34,4
"MisterY",1848,22,2,10,0,0,0,32,2,4,34,4
"seb141414",1537,6,8,9,9,0,2,15,19,2,34,4
"UncrownedRoyalty",1707,15,1,16,0,2,0,33,1,3,34,4
"YuuNagi",1677,9,3,21,1,0,0,30,4,3,34,4
"Zoki-kasparov",1433,13,8,8,4,1,0,22,12,1,34,4
"aiadiv",1775,6,3,13,9,1,1,20,13,4,33,4
"billloggolo",1985,15,1,15,0,2,0,32,1,4,33,4
"dinasor",1828,21,1,9,0,2,0,32,1,4,33,4
"dockruglov",1740,12,2,16,3,0,0,28,5,4,33,4
"FraGer68",2447,25,5,2,0,1,0,28,5,4,33,4
"loko356",1624,13,2,13,3,2,0,28,5,3,33,4
"Sajonia",1653,11,1,19,0,0,2,30,3,3,33,4
"vitaminccc",1904,13,2,16,1,1,0,30,3,4,33,4
"Whitemouse",2033,11,1,20,0,1,0,32,1,4,33,4
"ChillyGonzalez",1780,13,1,17,0,1,0,31,1,4,32,4
"damonachey",1687,8,6,9,8,1,0,18,14,3,32,4
"devis",1450,1,9,5,16,0,1,6,26,2,32,4
"fastmike",1474,2,8,5,17,0,0,7,25,2,32,4
"hibi",1634,14,3,12,1,2,0,28,4,3,32,4
"Husarz",2009,21,2,9,0,0,0,30,2,4,32,4
"IRAVO",1568,7,5,9,7,0,4,16,16,2,32,4
"MarkoSkace",1562,6,2,22,2,0,0,28,4,2,32,4
