"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"berk_engr",1389,4,2,3,5,1,1,8,8,1,16,3
"bysyto",1894,11,1,4,0,0,0,15,1,4,16,3
"Compost",1424,9,1,5,0,1,0,15,1,1,16,3
"Eggplant",2294,10,1,2,1,1,1,13,3,4,16,3
"erebouni",1300,1,6,1,8,0,0,2,14,1,16,3
"H-A-R-LEY",1350,5,1,7,1,2,0,14,2,1,16,3
"Have_Fun",1742,6,2,4,3,1,0,11,5,4,16,3
"kualalumpur",1292,1,4,1,10,0,0,2,14,1,16,3
"MonkeyGun",1206,2,5,1,8,0,0,3,13,1,16,3
"NimzoBros",1654,5,1,8,0,2,0,15,1,3,16,3
"ODBB",1635,1,7,1,7,0,0,2,14,3,16,3
"sakicek",1461,1,2,4,9,0,0,5,11,2,16,3
"shovelknight",1465,8,1,4,3,0,0,12,4,2,16,3
"Usub",1773,6,1,8,1,0,0,14,2,4,16,3
"Vit71",1313,1,4,0,9,0,2,1,15,1,16,3
"wilmar1",1654,2,1,9,4,0,0,11,5,3,16,3
"Alain30",1606,1,8,1,5,0,0,2,13,3,15,3
"ali131313",1435,2,4,3,4,1,1,6,9,1,15,3
"Amiir",1524,1,8,0,6,0,0,1,14,2,15,3
"Anam",1804,2,5,3,3,0,2,5,10,4,15,3
"asxetidis",1578,1,7,1,5,1,0,3,12,2,15,3
"Byering",1730,7,1,6,0,1,0,14,1,4,15,3
"chess1877",1628,6,1,7,0,0,1,13,2,3,15,3
"chessarchi",1796,10,1,4,0,0,0,14,1,4,15,3
"daNeo",1367,4,2,6,3,0,0,10,5,1,15,3
"DF72",1333,3,5,4,3,0,0,7,8,1,15,3
"Dmitry_Fedorgun",1281,4,1,4,4,0,2,8,7,1,15,3
"epeus",1247,2,1,12,0,0,0,14,1,1,15,3
"fedorstar",1661,1,6,3,4,1,0,5,10,3,15,3
"formatc",1442,5,3,3,4,0,0,8,7,2,15,3
"gamal75",1593,3,3,2,7,0,0,5,10,3,15,3
"gengis78",1558,1,6,0,6,1,1,2,13,2,15,3
"geogvanter",1832,2,1,9,1,2,0,13,2,4,15,3
"godzilla32",1567,1,12,0,2,0,0,1,14,2,15,3
"GongTao",1434,3,2,8,2,0,0,11,4,1,15,3
"HeitorDamiao",1254,2,6,1,5,0,1,3,12,1,15,3
"iranmahd",1323,4,1,7,2,1,0,12,3,1,15,3
"IvoryRedLama",2104,6,1,8,0,0,0,14,1,4,15,3
"jalalshajiei",1778,2,6,1,6,0,0,3,12,4,15,3
"Jawohl",1820,10,1,3,0,1,0,14,1,4,15,3
"JRock87",1597,6,1,6,2,0,0,12,3,3,15,3
"kakasarabi",1850,1,2,6,5,1,0,8,7,4,15,3
"kamchatka61",1462,7,1,6,1,0,0,13,2,2,15,3
"loceri",1642,1,6,0,8,0,0,1,14,3,15,3
"millefeuille",1334,3,5,2,5,0,0,5,10,1,15,3
"molamola",1639,2,2,4,7,0,0,6,9,3,15,3
"mpf05",1847,2,5,2,6,0,0,4,11,4,15,3
"Newan48",1765,8,2,5,0,0,0,13,2,4,15,3
"nitxcool",1297,1,1,12,1,0,0,13,2,1,15,3
"ORIK81",1898,4,5,4,2,0,0,8,7,4,15,3
"proof_07",1424,6,1,7,0,1,0,14,1,1,15,3
"puliciclone",1760,7,1,7,0,0,0,14,1,4,15,3
"servaordinem",1638,7,1,5,0,1,1,13,2,3,15,3
"Sherlocky",1709,8,1,6,0,0,0,14,1,3,15,3
"shirlynfred",1470,6,3,4,1,1,0,11,4,2,15,3
"skacool",1434,1,7,0,7,0,0,1,14,1,15,3
"SLEEPING",1864,7,1,5,1,1,0,13,2,4,15,3
"snehurka007",1412,3,2,2,8,0,0,5,10,1,15,3
"Sorin_Ionut",1825,4,1,7,2,0,1,11,4,4,15,3
"Srpp",1462,8,1,3,3,0,0,11,4,2,15,3
"taka6s6",1499,6,1,4,4,0,0,10,5,2,15,3
"vandam2120",1617,2,3,3,6,1,0,6,9,3,15,3
"wintera98",1538,1,7,1,6,0,0,2,13,2,15,3
"Yansk",1564,8,2,4,1,0,0,12,3,2,15,3
"yendisanz",1279,1,3,0,11,0,0,1,14,1,15,3
"Zlatko82",1841,3,6,0,5,0,1,3,12,4,15,3
"ZPKSoft",1820,7,2,6,0,0,0,13,2,4,15,3
"zvezdan",1591,2,4,1,8,0,0,3,12,3,15,3
"ARTjoMS",1925,3,2,0,8,1,0,4,10,4,14,3
"AScale",1326,2,2,5,5,0,0,7,7,1,14,3
"ax_baran",1808,8,3,0,3,0,0,8,6,4,14,3
"Benimacleter",1610,2,1,2,7,1,1,5,9,3,14,3
"cyd",1300,3,4,0,6,0,1,3,11,1,14,3
"david11",1811,7,3,1,3,0,0,8,6,4,14,3
"dodici1",1548,1,1,10,1,0,1,11,3,2,14,3
"ELGRANCACHA",1938,10,2,1,0,1,0,12,2,4,14,3
"Fasoo",1468,4,1,8,1,0,0,12,2,2,14,3
"fuoriuso",1508,3,3,6,2,0,0,9,5,2,14,3
"FURIOUSKING",1371,3,4,5,1,1,0,9,5,1,14,3
"gettester",1405,1,5,1,6,0,1,2,12,1,14,3
"GHOSTMIND",1519,1,1,7,5,0,0,8,6,2,14,3
"hamid123",1556,1,7,0,6,0,0,1,13,2,14,3
"heloise",1314,4,1,4,5,0,0,8,6,1,14,3
"HugeCasual",1200,1,1,1,10,1,0,3,11,1,14,3
"Ivandelsur",1526,2,6,1,5,0,0,3,11,2,14,3
"John_George_JR",1725,1,7,1,5,0,0,2,12,4,14,3
"Judoman",1273,1,4,1,7,0,1,2,12,1,14,3
"kambudjia",1556,1,1,7,2,2,1,10,4,2,14,3
"koba001",1474,2,6,0,5,0,1,2,12,2,14,3
"lau65",1489,2,3,2,4,0,3,4,10,2,14,3
"matthias123",1333,2,4,1,7,0,0,3,11,1,14,3
"MirekVeverka",1197,1,5,3,5,0,0,4,10,1,14,3
"mujo074",1582,3,1,1,8,0,1,4,10,2,14,3
"osipov",1891,6,2,6,0,0,0,12,2,4,14,3
"Pantzes",1381,5,1,7,0,1,0,13,1,1,14,3
"Pbatch23888",2145,10,1,2,0,1,0,13,1,4,14,3
"penton",1414,6,3,5,0,0,0,11,3,1,14,3
"PetElephant",1841,2,1,9,0,2,0,13,1,4,14,3
"predalien",1670,1,8,0,3,0,2,1,13,3,14,3
"Rafael100",1915,3,1,9,0,0,1,12,2,4,14,3
"rafrym",1981,4,1,9,0,0,0,13,1,4,14,3
"rise_UIED",1622,3,8,0,3,0,0,3,11,3,14,3
"saeed1118",1462,1,7,0,6,0,0,1,13,2,14,3
"sakarel",1563,5,2,4,2,1,0,10,4,2,14,3
"serg43",1350,1,5,2,6,0,0,3,11,1,14,3
"siamak20",1968,3,1,9,1,0,0,12,2,4,14,3
"thisisdhaas",2040,5,2,5,2,0,0,10,4,4,14,3
"trickybishops",1830,7,1,6,0,0,0,13,1,4,14,3
"xone",1565,3,4,2,4,1,0,6,8,2,14,3
"yann124",1588,4,2,2,6,0,0,6,8,3,14,3
"Yvoyalaruina",1307,1,4,3,5,1,0,5,9,1,14,3
"Assalonne",1769,6,1,6,0,0,0,12,1,4,13,3
"burachaga",1867,1,2,5,5,0,0,6,7,4,13,3
"CoffeePlayer",1699,3,1,8,1,0,0,11,2,3,13,3
"demon129",1374,2,2,2,7,0,0,4,9,1,13,3
"Desko_D",1824,7,1,5,0,0,0,12,1,4,13,3
"e60",1531,3,1,5,4,0,0,8,5,2,13,3
"iman60",2011,4,1,6,1,1,0,11,2,4,13,3
"JPTriton",1527,1,4,2,6,0,0,3,10,2,13,3
"juanchi13",1739,6,2,4,1,0,0,10,3,4,13,3
"kepesumbro",1396,1,7,0,4,1,0,2,11,1,13,3
"king_of_siyavash",1754,2,1,9,1,0,0,11,2,4,13,3
"lerappat",1654,9,2,1,1,0,0,10,3,3,13,3
"Mate1",1562,4,1,6,1,0,1,10,3,2,13,3
"mikewolf13",1468,1,1,7,4,0,0,8,5,2,13,3
"mmerken",1731,7,2,3,1,0,0,10,3,4,13,3
"netwalker",1406,5,5,2,1,0,0,7,6,1,13,3
"Nielsferatu",1770,2,2,2,5,0,2,4,9,4,13,3
"ondrejd288",1363,6,2,3,2,0,0,9,4,1,13,3
"onisse",1545,5,1,5,1,1,0,11,2,2,13,3
"pelao",1625,3,5,2,3,0,0,5,8,3,13,3
"perico12",1793,2,4,3,4,0,0,5,8,4,13,3
"pokemonisfun",1837,9,1,3,0,0,0,12,1,4,13,3
"rsiemon",1462,1,3,5,4,0,0,6,7,2,13,3
"SpanishPenguin",1787,2,3,7,0,1,0,10,3,4,13,3
"Tarique",1683,2,4,6,0,1,0,9,4,3,13,3
"wolfbrother77",1610,3,1,4,3,1,1,8,5,3,13,3
"zezinches",1755,4,2,6,1,0,0,10,3,4,13,3
"a4532",1601,2,4,5,1,0,0,7,5,3,12,3
"ahmadkhazaei",1440,1,8,1,2,0,0,2,10,2,12,3
"alezsz",1306,3,2,4,1,2,0,9,3,1,12,3
"ashot6677",1613,2,1,5,3,1,0,8,4,3,12,3
"C4_ExplosiveMove",1504,2,2,6,2,0,0,8,4,2,12,3
"chico202000",1500,1,8,1,1,0,1,2,10,2,12,3
"Dbrnjh333",1388,1,2,0,8,0,1,1,11,1,12,3
"Deft",1614,1,5,1,4,1,0,3,9,3,12,3
"donphilbo",1266,1,5,3,3,0,0,4,8,1,12,3
"edin1234",1213,2,3,4,3,0,0,6,6,1,12,3
"eminnaxchess",1949,4,1,3,4,0,0,7,5,4,12,3
"eomersis",1503,1,3,0,7,1,0,2,10,2,12,3
"Fabiosax",1628,4,1,6,1,0,0,10,2,3,12,3
"fitoGM",1531,1,6,2,2,0,1,3,9,2,12,3
"Fugitive13",1214,1,3,1,7,0,0,2,10,1,12,3
"God-Save-Chess",1588,1,1,6,2,1,1,8,4,3,12,3
"HankTheTank12",1524,6,1,4,1,0,0,10,2,2,12,3
"Harms_D",1682,9,1,2,0,0,0,11,1,3,12,3
"horung",1550,2,5,0,5,0,0,2,10,2,12,3
"JulayE3",1505,1,1,7,3,0,0,8,4,2,12,3
"karpo72",1726,3,2,7,0,0,0,10,2,4,12,3
"Kazem46",1330,2,1,0,9,0,0,2,10,1,12,3
"laci64",1462,1,4,2,5,0,0,3,9,2,12,3
"mealoser",1705,5,1,3,3,0,0,8,4,3,12,3
"mgalbraithm",1396,2,5,1,4,0,0,3,9,1,12,3
"Miloff",1897,2,1,8,1,0,0,10,2,4,12,3
"mozbet",1499,1,4,0,7,0,0,1,11,2,12,3
"nathanf314",1854,2,1,7,0,2,0,11,1,4,12,3
"raulg",1642,6,1,4,0,1,0,11,1,3,12,3
"Razer-1988",1558,1,2,6,3,0,0,7,5,2,12,3
"Regislian",1298,2,1,4,5,0,0,6,6,1,12,3
"ronniak",1690,4,2,3,3,0,0,7,5,3,12,3
"RyanC",1575,1,5,1,5,0,0,2,10,2,12,3
"sh82n",1359,5,1,4,2,0,0,9,3,1,12,3
"sparrow",1315,1,1,0,10,0,0,1,11,1,12,3
"StockfishFans",1534,5,2,5,0,0,0,10,2,2,12,3
"stonecollector",1525,4,1,5,1,1,0,10,2,2,12,3
"tfernandesm",1473,3,1,8,0,0,0,11,1,2,12,3
"Thrallzz",2151,8,1,2,0,1,0,11,1,4,12,3
"tite-live",1419,2,5,0,5,0,0,2,10,1,12,3
"tsu-e-fa",1569,1,2,2,7,0,0,3,9,2,12,3
"vchess4",1652,1,2,1,8,0,0,2,10,3,12,3
"vedran193",1578,3,1,2,6,0,0,5,7,2,12,3
"yakupov_dima",1498,6,1,5,0,0,0,11,1,2,12,3
"yarko",1610,4,1,4,3,0,0,8,4,3,12,3
"zitterbart",1702,8,1,3,0,0,0,11,1,3,12,3
"a24z",1160,1,2,1,7,0,0,2,9,1,11,3
"AjedrezArg",1564,3,1,6,1,0,0,9,2,2,11,3
"amir2197",1638,4,1,4,1,1,0,9,2,3,11,3
"Ampersand",1735,2,3,3,2,1,0,6,5,4,11,3
"andonuts",1426,2,3,0,4,0,2,2,9,1,11,3
"aristillusbas",1359,3,2,3,3,0,0,6,5,1,11,3
"atomicworld45",1514,1,2,5,2,0,1,6,5,2,11,3
"b22",1875,5,2,2,2,0,0,7,4,4,11,3
"Bjorgvin1",1816,3,1,6,1,0,0,9,2,4,11,3
"boan57",1683,4,2,5,0,0,0,9,2,3,11,3
"bordercros",1646,1,1,5,4,0,0,6,5,3,11,3
"cutxillo6",1497,1,6,0,3,0,1,1,10,2,11,3
"dodox",1371,4,1,4,0,2,0,10,1,1,11,3
"doktorvatson",1315,2,3,0,6,0,0,2,9,1,11,3
"Enderer",1294,5,1,3,2,0,0,8,3,1,11,3
"fandrioli",1572,9,1,1,0,0,0,10,1,2,11,3
"fou36",1714,1,5,1,4,0,0,2,9,3,11,3
"Frapator",1757,2,4,2,2,1,0,5,6,4,11,3
"Genri",1296,1,5,0,5,0,0,1,10,1,11,3
"Given420",2035,3,7,0,1,0,0,3,8,4,11,3
"hamidr",1836,3,1,7,0,0,0,10,1,4,11,3
"HenrikIbiza",1485,1,5,0,4,0,1,1,10,2,11,3
"holyver",1224,7,1,1,2,0,0,8,3,1,11,3
"Karolinka",1342,4,2,5,0,0,0,9,2,1,11,3
"kaug",1508,2,1,7,1,0,0,9,2,2,11,3
"mahabatnha",1744,1,4,1,5,0,0,2,9,4,11,3
"mamandus",1959,1,5,3,2,0,0,4,7,4,11,3
"Man67",1376,1,2,2,6,0,0,3,8,1,11,3
"mjb503",1688,5,1,4,1,0,0,9,2,3,11,3
"Murmeltier28",1527,4,1,6,0,0,0,10,1,2,11,3
"OpenGamer",1217,2,2,1,5,0,1,3,8,1,11,3
"papistyle",1764,4,1,5,0,1,0,10,1,4,11,3
"pawncount",1662,2,1,6,0,2,0,10,1,3,11,3
"Phexxer",1298,1,3,0,7,0,0,1,10,1,11,3
"pinki-62",1861,4,2,4,1,0,0,8,3,4,11,3
"pinzutto",1144,1,1,3,6,0,0,4,7,1,11,3
"PolishPain",1679,6,1,4,0,0,0,10,1,3,11,3
"raumlich",1659,5,3,3,0,0,0,8,3,3,11,3
"relayer",1442,1,4,0,6,0,0,1,10,2,11,3
"Safifa",2005,7,1,2,0,1,0,10,1,4,11,3
"Sefer",1805,3,3,3,1,1,0,7,4,4,11,3
"ssirio",1482,4,2,3,1,1,0,8,3,2,11,3
"Stavro1",1532,1,7,0,3,0,0,1,10,2,11,3
"Tristano",1378,3,1,6,0,1,0,10,1,1,11,3
"uheredia",1543,3,1,7,0,0,0,10,1,2,11,3
"ulicka",1403,3,2,4,2,0,0,7,4,1,11,3
"va3101",1551,3,1,4,3,0,0,7,4,2,11,3
"VaselineTopalov",1654,1,3,0,7,0,0,1,10,3,11,3
"violeteye4",1991,4,1,6,0,0,0,10,1,4,11,3
"z_hassani",1537,1,3,2,5,0,0,3,8,2,11,3
"zetov",1474,1,4,2,4,0,0,3,8,2,11,3
"zzpp",1799,3,1,3,3,0,1,6,5,4,11,3
"a_physicist",1313,3,2,4,1,0,0,7,3,1,10,2
"Adi3838",1666,1,2,4,2,0,1,5,5,3,10,2
"aghrab",1505,2,1,4,2,0,1,6,4,2,10,2
"akselwho",1262,2,1,6,0,1,0,9,1,1,10,2
"amirthr",1668,1,1,0,6,1,1,2,8,3,10,2
"babaei",1589,1,1,8,0,0,0,9,1,3,10,2
"bargou",1532,1,5,1,3,0,0,2,8,2,10,2
"Besson-72",1377,1,2,2,5,0,0,3,7,1,10,2
"betobastos",1362,4,1,4,1,0,0,8,2,1,10,2
"bihukujiko",1535,1,4,0,5,0,0,1,9,2,10,2
"bnr09",1570,4,1,1,4,0,0,5,5,2,10,2
"BOXPA",1685,2,1,2,1,3,1,7,3,3,10,2
"chess_59",1687,1,1,3,4,1,0,5,5,3,10,2
"cittavecchia",1546,2,1,4,2,1,0,7,3,2,10,2
"ctac56",1357,1,2,0,7,0,0,1,9,1,10,2
"dondon",1781,4,1,4,1,0,0,8,2,4,10,2
"DREAMCATHER",1485,2,1,4,3,0,0,6,4,2,10,2
"farid_222",2092,6,1,1,0,2,0,9,1,4,10,2
"feyzi",1405,2,1,3,4,0,0,5,5,1,10,2
"fjolsvidr",1529,4,2,3,1,0,0,7,3,2,10,2
"FMAROUAN",1927,4,1,4,0,1,0,9,1,4,10,2
"garik7777",1575,5,1,3,1,0,0,8,2,2,10,2
"gramo",1548,2,2,1,5,0,0,3,7,2,10,2
"hamidian",1478,5,1,4,0,0,0,9,1,2,10,2
"helmutLipfert6",1650,2,1,5,2,0,0,7,3,3,10,2
"Impatial",1369,1,1,8,0,0,0,9,1,1,10,2
"jelac",1502,4,1,3,0,2,0,9,1,2,10,2
"jugando90",1616,4,1,5,0,0,0,9,1,3,10,2
"kenny15",1246,1,3,0,5,0,1,1,9,1,10,2
"kotbegemot",1746,2,1,5,2,0,0,7,3,4,10,2
"LauraEvan",1763,1,6,0,3,0,0,1,9,4,10,2
"luigino",1308,1,1,1,7,0,0,2,8,1,10,2
"MASKO52",1714,3,1,4,1,1,0,8,2,3,10,2
"mentibus",1682,2,2,1,4,1,0,4,6,3,10,2
"miraqe2",1403,1,3,0,5,0,1,1,9,1,10,2
"Misha77",1644,1,4,1,3,0,1,2,8,3,10,2
"mutatio",1660,1,4,4,1,0,0,5,5,3,10,2
"nwinston",1384,1,3,0,6,0,0,1,9,1,10,2
"Paralian",1632,1,4,1,4,0,0,2,8,3,10,2
"rain2014",1512,4,2,4,0,0,0,8,2,2,10,2
"Ralexx",1806,7,1,0,1,1,0,8,2,4,10,2
"Ramisis",1710,2,1,5,2,0,0,7,3,3,10,2
"Roman753",1527,1,3,0,5,0,1,1,9,2,10,2
"rop8ap",1177,1,1,8,0,0,0,9,1,1,10,2
"runpawnrun",1608,1,1,6,2,0,0,7,3,3,10,2
"Sakinol",1668,1,5,0,4,0,0,1,9,3,10,2
"sasanx",1515,1,3,0,5,0,1,1,9,2,10,2
"Seer59",1527,2,1,5,2,0,0,7,3,2,10,2
"Soltor",1797,6,1,3,0,0,0,9,1,4,10,2
"son1of9sun95",1331,3,1,3,3,0,0,6,4,1,10,2
"sovietchessschool",1799,5,1,4,0,0,0,9,1,4,10,2
"spock23",1345,1,4,1,4,0,0,2,8,1,10,2
"stic",1191,2,1,5,2,0,0,7,3,1,10,2
"tarair",1388,1,4,2,3,0,0,3,7,1,10,2
"ThatAmine",1690,5,2,2,1,0,0,7,3,3,10,2
"thodskyrim",1253,1,1,2,6,0,0,3,7,1,10,2
"yonose",1573,2,2,3,3,0,0,5,5,2,10,2
"aioyuo",1739,1,1,5,2,0,0,6,3,4,9,2
"alecool2",1476,2,2,2,3,0,0,4,5,2,9,2
"Aliki",1558,1,1,3,4,0,0,4,5,2,9,2
"ALREMO",1790,2,3,1,2,1,0,4,5,4,9,2
"amini688",1415,1,4,3,1,0,0,4,5,1,9,2
"anjos",1211,1,1,2,5,0,0,3,6,1,9,2
"Anwarov",1845,1,5,0,2,0,1,1,8,4,9,2
"Bakka",2136,3,5,0,1,0,0,3,6,4,9,2
"blad4847",1474,2,2,2,3,0,0,4,5,2,9,2
"blunderered",1314,1,1,5,2,0,0,6,3,1,9,2
"bobek123",1586,2,1,3,3,0,0,5,4,3,9,2
"BOBIPET",1382,3,2,4,0,0,0,7,2,1,9,2
"BreadBoxKane",1249,1,1,6,1,0,0,7,2,1,9,2
"cabouche",1456,1,2,0,5,0,1,1,8,2,9,2
"cajelun",1483,2,1,6,0,0,0,8,1,2,9,2
"Cartman73",2075,4,1,1,3,0,0,5,4,4,9,2
"chessgranny",1233,2,3,1,3,0,0,3,6,1,9,2
"ChiefTimeKeeper",1450,3,1,1,3,1,0,5,4,2,9,2
"chopin8",1345,2,1,2,4,0,0,4,5,1,9,2
"Clemmus",1692,5,1,3,0,0,0,8,1,3,9,2
"Corgatha",1834,3,1,4,1,0,0,7,2,4,9,2
"coucou40460",1196,1,1,0,7,0,0,1,8,1,9,2
"dappertutto",1685,3,1,5,0,0,0,8,1,3,9,2
"denyz22",1667,4,1,4,0,0,0,8,1,3,9,2
"dragec97",1559,4,3,1,1,0,0,5,4,2,9,2
"edumucation",2197,2,5,0,2,0,0,2,7,4,9,2
"elgavi",1486,1,3,1,4,0,0,2,7,2,9,2
"fm960",1740,3,2,4,0,0,0,7,2,4,9,2
"Fufik390",1652,1,1,5,2,0,0,6,3,3,9,2
"Genesis_Tri",1552,2,1,6,0,0,0,8,1,2,9,2
"h_v_ir",1535,1,1,0,7,0,0,1,8,2,9,2
"hayoolaa",1591,4,1,1,3,0,0,5,4,3,9,2
"hermetofichen",1471,1,2,0,6,0,0,1,8,2,9,2
"Huntos",1809,3,2,0,4,0,0,3,6,4,9,2
"ismatf91",1259,2,1,2,4,0,0,4,5,1,9,2
"J9830434",1550,1,1,0,5,0,2,1,8,2,9,2
"juandres",1723,3,3,1,1,0,1,4,5,4,9,2
"karabas",1474,1,1,0,7,0,0,1,8,2,9,2
"Kichaika",1428,1,4,1,3,0,0,2,7,1,9,2
"kostinho",1394,2,1,3,2,1,0,6,3,1,9,2
"kxqa4pat",1792,5,1,0,3,0,0,5,4,4,9,2
"lemonia",1446,3,1,4,0,1,0,8,1,2,9,2
"mahir123",1726,3,1,5,0,0,0,8,1,4,9,2
"matthias12345",1588,1,1,3,3,1,0,5,4,3,9,2
"MelvilQ",1325,3,1,4,1,0,0,7,2,1,9,2
"mgmgmg",1509,4,1,3,1,0,0,7,2,2,9,2
"mihailosvk",1370,3,2,2,2,0,0,5,4,1,9,2
"musca",1959,1,7,0,1,0,0,1,8,4,9,2
"mustangfan",1862,6,1,1,1,0,0,7,2,4,9,2
"myron_007",1389,1,3,1,4,0,0,2,7,1,9,2
"Naarmu",1628,3,2,3,1,0,0,6,3,3,9,2
"nicoitaly",1577,3,1,5,0,0,0,8,1,2,9,2
"oleg1976",1715,3,1,4,1,0,0,7,2,3,9,2
"outdoorsmyn",1662,5,1,0,3,0,0,5,4,3,9,2
"pedram8968",1583,4,1,3,1,0,0,7,2,2,9,2
"pisika",1660,4,1,4,0,0,0,8,1,3,9,2
"prz",1891,5,1,1,2,0,0,6,3,4,9,2
"Ragnarook",1308,1,2,5,1,0,0,6,3,1,9,2
"Rene_13",1640,1,2,2,4,0,0,3,6,3,9,2
"rfabian",1198,2,1,1,5,0,0,3,6,1,9,2
"Roberme",1515,1,4,2,1,0,1,3,6,2,9,2
"savanovic",1545,1,1,3,3,1,0,5,4,2,9,2
"Sevane",1567,1,1,0,6,0,1,1,8,2,9,2
"sharathfloyd",1387,2,2,0,5,0,0,2,7,1,9,2
"SheldonRampton",1420,5,1,2,1,0,0,7,2,1,9,2
"somethingpretentious",1599,1,1,5,1,1,0,7,2,3,9,2
"sorenagrand",1933,4,1,4,0,0,0,8,1,4,9,2
"SuperMegaCheater",1432,4,4,0,1,0,0,4,5,1,9,2
"Swordfishtrombones",1494,1,1,5,2,0,0,6,3,2,9,2
"tacotacotaco",1426,2,1,4,2,0,0,6,3,1,9,2
"tandr",1486,1,1,2,5,0,0,3,6,2,9,2
"torpe",1521,1,2,0,6,0,0,1,8,2,9,2
"TotoshkaCom",1533,1,5,1,2,0,0,2,7,2,9,2
"uktamsaparov",1642,5,2,2,0,0,0,7,2,3,9,2
"vagor",1360,1,1,5,2,0,0,6,3,1,9,2
"velnov1",1706,2,2,2,2,1,0,5,4,3,9,2
"Vicq59",1715,2,1,4,0,2,0,8,1,3,9,2
"YOANNAS",1131,1,2,3,3,0,0,4,5,1,9,2
"Yomerito83",1590,1,2,3,3,0,0,4,5,3,9,2
"Aceves",1625,2,2,4,0,0,0,6,2,3,8,2
"akhisseus",1502,4,1,2,0,1,0,7,1,2,8,2
"alamut62",1274,1,4,0,3,0,0,1,7,1,8,2
"anat_68",1764,4,2,0,2,0,0,4,4,4,8,2
"andy1234",1718,4,1,3,0,0,0,7,1,3,8,2
"anopows",1385,1,1,3,3,0,0,4,4,1,8,2
"armen1111",1488,1,1,1,4,0,1,2,6,2,8,2
"Astrophysics",1596,1,1,3,2,0,1,4,4,3,8,2
"avin",1431,1,1,0,5,0,1,1,7,1,8,2
"ayuka92",1401,3,1,2,2,0,0,5,3,1,8,2
"benjamin-68",1529,1,1,3,3,0,0,4,4,2,8,2
"bjorskar",1398,3,1,4,0,0,0,7,1,1,8,2
"bjourne",1454,2,1,2,2,0,1,4,4,2,8,2
"bkmzubwby",1414,1,2,1,4,0,0,2,6,1,8,2
"bulyak",1619,2,2,1,3,0,0,3,5,3,8,2
"cah_njowo",1648,3,3,1,1,0,0,4,4,3,8,2
"carpachot",1450,2,2,3,0,0,1,5,3,2,8,2
"chesswilly",1550,4,1,3,0,0,0,7,1,2,8,2
"Chiefff",1218,2,2,4,0,0,0,6,2,1,8,2
"cvicenie",1645,3,1,4,0,0,0,7,1,3,8,2
"DVRazor",2124,4,1,1,1,1,0,6,2,4,8,2
"Eriterrivel",1635,1,3,0,4,0,0,1,7,3,8,2
"fianceto",1393,1,1,0,6,0,0,1,7,1,8,2
"fromrdchess",1346,1,3,1,3,0,0,2,6,1,8,2
"gmslowey1",1598,1,2,4,0,1,0,6,2,3,8,2
"grondilu",1646,1,1,2,4,0,0,3,5,3,8,2
"hamp",1702,3,1,2,0,2,0,7,1,3,8,2
"hata",1579,1,1,2,4,0,0,3,5,2,8,2
"Herschel79",1420,2,1,4,1,0,0,6,2,1,8,2
"Irlandec552",1662,1,4,1,2,0,0,2,6,3,8,2
"Italian_Friend",1433,1,1,4,2,0,0,5,3,1,8,2
"Ivan99e",1236,3,1,2,2,0,0,5,3,1,8,2
"iwanttoplay",2000,2,1,5,0,0,0,7,1,4,8,2
"jjlopez",1336,2,1,5,0,0,0,7,1,1,8,2
"johndri",1479,5,1,2,0,0,0,7,1,2,8,2
"josgaq",1685,1,3,0,4,0,0,1,7,3,8,2
"jyraphe",1193,2,1,4,1,0,0,6,2,1,8,2
"kakas",1577,1,4,0,2,0,1,1,7,2,8,2
"larpayam",2017,3,1,4,0,0,0,7,1,4,8,2
"lovahicruces",1639,3,1,3,1,0,0,6,2,3,8,2
"malizmaj89",1446,2,1,5,0,0,0,7,1,2,8,2
"marcusgardner",1434,2,1,5,0,0,0,7,1,1,8,2
"MATIK",1652,2,1,1,3,1,0,4,4,3,8,2
"MatingSeason",1840,1,1,6,0,0,0,7,1,4,8,2
"Menteloka-8",1367,1,6,1,0,0,0,2,6,1,8,2
"mica_s",1429,2,2,0,4,0,0,2,6,1,8,2
"miladiii",1620,2,4,2,0,0,0,4,4,3,8,2
"milandeda",1771,4,1,3,0,0,0,7,1,4,8,2
"Millea",1445,1,6,0,1,0,0,1,7,2,8,2
"mrsausages",1462,2,1,4,1,0,0,6,2,2,8,2
"mrun",1464,5,1,1,1,0,0,6,2,2,8,2
"ms23",1249,2,1,5,0,0,0,7,1,1,8,2
"nene2507",1662,1,2,0,5,0,0,1,7,3,8,2
"noble2020",1443,3,1,4,0,0,0,7,1,2,8,2
"oljica",1693,3,4,1,0,0,0,4,4,3,8,2
"PALYACQ",1788,7,1,0,0,0,0,7,1,4,8,2
"pivogon",1940,3,5,0,0,0,0,3,5,4,8,2
"Prototype666",1400,1,4,0,2,0,1,1,7,1,8,2
"Rafael_Federer",1572,1,2,2,3,0,0,3,5,2,8,2
"rr2048",1454,2,1,5,0,0,0,7,1,2,8,2
"S0HAIB",1270,2,1,4,1,0,0,6,2,1,8,2
"sarcin",1141,1,2,3,1,0,1,4,4,1,8,2
"Sasha_msk_m",1515,1,1,2,4,0,0,3,5,2,8,2
"severjanka",1591,1,2,0,5,0,0,1,7,3,8,2
